id,sensor_id,location,temperature,humidity,status,is_anomaly,timestamp
1,S001,Server Room,22.12,45.98,Normal,0,2024-01-15 00:00:00
2,S002,Server Room,21.62,40.04,Normal,0,2024-01-15 00:02:00
3,S003,Warehouse,22.27,58.66,Normal,0,2024-01-15 00:04:00
4,S004,Warehouse,17.76,61.41,Normal,0,2024-01-15 00:06:00
5,S005,Office,21.8,50.58,Normal,0,2024-01-15 00:08:00
6,S001,Server Room,15.89,45.98,Normal,0,2024-01-15 00:10:00
7,S002,Server Room,22.34,40.95,Normal,0,2024-01-15 00:12:00
8,S003,Warehouse,16.29,60.33,Normal,0,2024-01-15 00:14:00
9,S004,Warehouse,30.59,63.17,Warning,1,2024-01-15 00:16:00
10,S005,Office,22.53,52.69,Normal,0,2024-01-15 00:18:00
11,S001,Server Room,18.79,45.61,Normal,0,2024-01-15 00:20:00
12,S002,Server Room,22.53,42.57,Normal,0,2024-01-15 00:22:00
13,S003,Warehouse,21.94,58.56,Normal,0,2024-01-15 00:24:00
14,S004,Warehouse,20.6,61.17,Normal,0,2024-01-15 00:26:00
15,S005,Office,35.8,56.23,Critical,1,2024-01-15 00:28:00
16,S001,Server Room,18.76,44.64,Normal,0,2024-01-15 00:30:00
17,S002,Server Room,21.3,43.15,Normal,0,2024-01-15 00:32:00
18,S003,Warehouse,19.58,60.19,Normal,0,2024-01-15 00:34:00
19,S004,Warehouse,19.11,63.38,Normal,0,2024-01-15 00:36:00
20,S005,Office,22.55,48.39,Normal,0,2024-01-15 00:38:00
21,S001,Server Room,19.63,41.48,Normal,0,2024-01-15 00:40:00
22,S002,Server Room,21.75,44.97,Normal,0,2024-01-15 00:42:00
23,S003,Warehouse,21.07,62.44,Normal,0,2024-01-15 00:44:00
24,S004,Warehouse,19.7,64.12,Normal,0,2024-01-15 00:46:00
25,S005,Office,23.64,48.74,Normal,0,2024-01-15 00:48:00
26,S001,Server Room,20.46,44.45,Normal,0,2024-01-15 00:50:00
27,S002,Server Room,22.36,45.73,Normal,0,2024-01-15 00:52:00
28,S003,Warehouse,21.39,59.67,Normal,0,2024-01-15 00:54:00
29,S004,Warehouse,18.42,61.65,Normal,0,2024-01-15 00:56:00
30,S005,Office,23.49,49.81,Normal,0,2024-01-15 00:58:00
31,S001,Server Room,33.95,44.3,Critical,1,2024-01-15 01:00:00
32,S002,Server Room,22.63,41.53,Normal,0,2024-01-15 01:02:00
33,S003,Warehouse,22.27,61.37,Normal,0,2024-01-15 01:04:00
34,S004,Warehouse,20.09,62.34,Normal,0,2024-01-15 01:06:00
35,S005,Office,23.38,49.02,Normal,0,2024-01-15 01:08:00
36,S001,Server Room,19.25,44.48,Normal,0,2024-01-15 01:10:00
37,S002,Server Room,21.76,43.02,Normal,0,2024-01-15 01:12:00
38,S003,Warehouse,15.17,61.09,Normal,1,2024-01-15 01:14:00
39,S004,Warehouse,20.97,60.26,Normal,0,2024-01-15 01:16:00
40,S005,Office,23.42,49.74,Normal,0,2024-01-15 01:18:00
41,S001,Server Room,22.3,48.35,Normal,0,2024-01-15 01:20:00
42,S002,Server Room,24.21,44.39,Normal,0,2024-01-15 01:22:00
43,S003,Warehouse,17.9,61.63,Normal,0,2024-01-15 01:24:00
44,S004,Warehouse,18.23,62.88,Normal,0,2024-01-15 01:26:00
45,S005,Office,22.46,47.61,Normal,0,2024-01-15 01:28:00
46,S001,Server Room,18.85,45.46,Normal,0,2024-01-15 01:30:00
47,S002,Server Room,21.23,44.44,Normal,0,2024-01-15 01:32:00
48,S003,Warehouse,18.38,60.79,Normal,0,2024-01-15 01:34:00
